Date,Team,Opponent, Score,Opponent Score,Home,Playoff Game?, Odds Open, Line Open,Win %,Total DVOA,Weighted DVOA,Offense DVOA,Offense Weighted DVOA,Defense DVOA,Defense Weighted DVOA,Special Teams DVOA,Special Teams Weighted DVOA,OffenseDVOA,Offense WeightedDVOA,PassOffense,RushOffense,DefenseDVOA,Defense WeightedDVOA,PassDefense,RushDefense,Opponent Win %,Opponent Total DVOA,Opponent Weighted DVOA,Opponent Offense DVOA,Opponent Offense Weighted DVOA,Opponent Defense DVOA,Opponent Defense Weighted DVOA,Opponent Special Teams DVOA,Opponent Special Teams Weighted DVOA,Opponent OffenseDVOA,Opponent Offense WeightedDVOA,Opponent PassOffense,Opponent RushOffense,Opponent DefenseDVOA,Opponent Defense WeightedDVOA,Opponent PassDefense,Opponent RushDefense,Wins,Losses,Ties,Opponent Wins,Opponent Losses,Opponent Ties,Cover?
2019 Week 14,CIN,CLE,19,27,N,N,4,10.5,0.083333333,-0.312,-0.305,-0.193,-0.206,0.157,0.147,0.039,0.048,-0.193,-0.206,-0.109,-0.21,0.157,0.147,0.338,-0.024,0.416666667,-0.001,0.011,-0.008,0.019,-0.006,-0.006,0.001,-0.014,-0.008,0.019,0.099,-0.013,-0.6,-0.006,5.3,-0.088,1,11,,5,7,,Yes
2019 Week 14,WAS,GB,15,20,N,N,6.5,13.5,0.25,-0.301,-0.305,-0.266,-0.3,0.047,0.016,0.012,0.012,-0.266,-0.3,-0.217,-0.198,0.047,0.016,0.169,-0.088,0.75,0.047,0.015,0.114,0.121,0.062,0.101,-0.005,-0.006,0.114,0.121,0.345,-0.022,6.2,0.101,7.8,0.04,3,9,,9,3,,Yes
2019 Week 14,DEN,HOU,38,24,N,N,3.8,8,0.333333333,-0.139,-0.145,-0.138,-0.163,-0.025,-0.034,-0.026,-0.015,-0.138,-0.163,-0.137,-0.067,-0.025,-0.034,0.095,-0.155,0.666666667,0.029,0.014,0.06,0.054,0.045,0.06,0.013,0.02,0.06,0.054,0.31,-0.102,4.5,0.06,16.5,-0.155,4,8,,8,4,,Yes
2019 Week 14,DET,MIN,7,20,N,N,7.5,13.5,0.272727273,-0.052,-0.085,0.012,0.016,0.067,0.102,0.003,0,0.012,0.016,0.28,-0.231,0.067,0.102,0.176,-0.098,0.666666667,0.18,0.189,0.132,0.144,-0.058,-0.052,-0.01,-0.007,0.132,0.144,0.297,0.025,-5.8,-0.052,0.6,-0.154,3,8,1,8,4,,Yes
2019 Week 14,SF,NO,48,46,N,N,2.5,3,0.833333333,0.35,0.324,0.062,0.044,-0.293,-0.277,-0.005,0.003,0.062,0.044,0.243,-0.037,-0.293,-0.277,-0.426,-0.139,0.833333333,0.251,0.277,0.138,0.151,-0.1,-0.12,0.014,0.006,0.138,0.151,0.246,0.066,-10,-0.12,-3.3,-0.225,10,2,,10,2,,Yes
2019 Week 14,MIA,NYJ,21,22,N,N,3.15,5.5,0.25,-0.471,-0.4,-0.208,-0.162,0.254,0.232,-0.009,-0.005,-0.208,-0.162,-0.056,-0.431,0.254,0.232,0.467,0.024,0.333333333,-0.205,-0.186,-0.259,-0.242,-0.029,-0.023,0.025,0.033,-0.259,-0.242,-0.235,-0.211,-2.9,-0.023,16.3,-0.326,3,9,,4,8,,Yes
2019 Week 14,IND,TB,35,38,N,N,2.45,3,0.5,-0.039,-0.027,-0.013,-0.038,-0.008,-0.041,-0.034,-0.029,-0.013,-0.038,0.029,0.008,-0.008,-0.041,0.033,-0.072,0.416666667,-0.043,-0.031,-0.073,-0.08,-0.035,-0.048,-0.005,0.001,-0.073,-0.08,0.064,-0.144,-3.5,-0.048,12.6,-0.345,6,6,,5,7,,No
2019 Week 14,DAL,CHI,24,31,N,N,1.62,-3,0.5,0.204,0.19,0.264,0.248,0.012,0.003,-0.048,-0.055,0.264,0.248,0.439,0.06,0.012,0.003,0.099,-0.112,0.5,-0.041,-0.05,-0.111,-0.109,-0.056,-0.051,0.014,0.009,-0.111,-0.109,0.021,-0.207,-5.6,-0.051,1.2,-0.15,6,6,,6,6,,No
2019 Week 13,SEA,MIN,37,30,Y,N,1.66,-3,0.818181818,0.163,0.175,0.201,0.198,0.006,-0.009,-0.032,-0.032,0.201,0.198,0.558,-0.098,0.006,-0.009,0.092,-0.147,0.727272727,0.196,0.213,0.14,0.156,-0.069,-0.068,-0.013,-0.01,0.14,0.156,0.325,0.018,-6.9,-0.068,2.5,-0.223,9,2,,8,3,,Yes
2019 Week 13,HOU,NE,28,22,Y,N,2.45,3,0.636363636,-0.032,-0.059,0.015,0.004,0.052,0.071,0.005,0.008,0.015,0.004,0.227,-0.092,0.052,0.071,0.177,-0.159,0.909090909,0.434,0.409,0.068,0.052,-0.365,-0.352,0.001,0.005,0.068,0.052,0.211,-0.051,-36.5,-0.352,-50.5,-0.154,7,4,,10,1,,Yes
